symbol,name,summary,currency,sector,industry_group,industry,exchange,market,country,state,city,zipcode,website,market_cap,isin,cusip,figi,composite_figi,shareclass_figi
ARC,"ARC Document Solutions, Inc.","ARC Document Solutions, Inc., a reprographics company, provides document solutions. It offers managed print services, an onsite service that places, manages, and optimizes print and imaging equipment in customers' offices, job sites, and other facilities; construction document and information management services, which consists of professional services to manage and distribute documents and information primarily related to construction projects and related project-based businesses; and archive and information management services, such as software and professional services to facilitate the capture, management, access, and retrieval of documents and information. The company also resells printing, imaging, and related equipment primarily to architectural, engineering, and construction firms, as well as provides ancillary services, such as equipment service and maintenance; and offers specialized color printing comprising color printing, finishing and assembly of graphic materials for regional and national retailers, franchises, marketing departments, theme parks, and cultural institutions. In addition, it develops and offers Web-based document management applications, such as SKYSITE, Abacus, and ARC Print that facilitates project collaboration, manage print networks, track equipment fleets, create and maintain project document archives, and other document and content management tasks. Further, the company operates 148 offsite service centers that provides its customers with project-related printing of construction documents. It serves senior management teams, IT and procurement departments, project architects, engineers, general contractors, facilities managers, and marketing managers, as well as retail, technology, educational, hospitality, and public utilities. The company was formerly known as American Reprographics Company and changed its name to ARC Document Solutions, Inc. in 2012. The company was founded in 1960 is headquartered in San Ramon, California.",USD,Industrials,Commercial & Professional Services,Professional Services,NYQ,New York Stock Exchange,United States,CA,San Ramon,94583,http://www.e-arc.com,Micro Cap,NO0010345853,,,,
ARE,"Alexandria Real Estate Equities, Inc.","Alexandria Real Estate Equities, Inc. (NYSE:ARE), an S&P 500<sup>Â®</sup> urban office real estate investment trust (""REIT""), is the first, longest-tenured, and pioneering owner, operator, and developer uniquely focused on collaborative life science, technology, and agtech campuses in AAA innovation cluster locations, with a total market capitalization of $31.9 billion as of December 31, 2020, and an asset base in North America of 49.7 million square feet (""SF""). The asset base in North America includes 31.9 million RSF of operating properties and 3.3 million RSF of Class A properties undergoing construction, 7.1 million RSF of near-term and intermediate-term development and redevelopment projects, and 7.4 million SF of future development projects. Founded in 1994, Alexandria pioneered this niche and has since established a significant market presence in key locations, including Greater Boston, San Francisco, New York City, San Diego, Seattle, Maryland, and Research Triangle. Alexandria has a longstanding and proven track record of developing Class A properties clustered in urban life science, technology, and agtech campuses that provide our innovative tenants with highly dynamic and collaborative environments that enhance their ability to successfully recruit and retain world-class talent and inspire productivity, efficiency, creativity, and success. Alexandria also provides strategic capital to transformative life science, technology, and agtech companies through our venture capital platform. We believe our unique business model and diligent underwriting ensure a high-quality and diverse tenant base that results in higher occupancy levels, longer lease terms, higher rental income, higher returns, and greater long-term asset value.",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NYQ,New York Stock Exchange,United States,CA,Pasadena,91101,http://www.are.com,Large Cap,US0152711091,15271109,BBG000BC3621,BBG000BC33T9,BBG001S6CPH6
ARNC,Arconic Corporation,"Arconic Corporation manufactures and sells aluminum sheets, plates, extrusions, and architectural products in the United States, Canada, China, France, Germany, Hungary, Russia, and the United Kingdom. It operates through three segments: Rolled Products, Extrusions, and Building and Construction Systems. The Rolled Products segment provides a range of aluminum sheet and plate products for ground transportation, aerospace, industrial, and packaging markets; and roofing, architectural composite panels, ventilated facades and ceiling panels, spacers, culvert pipes, and gutters for building and construction markets. The Extrusions segment offers extruded products, including aerospace shapes, automotive shapes, seamless tubes, hollows, mortar fins, and high strength rods and bars for ground transportation, aerospace, and industrial markets. The Building and Construction Systems segment provides various products and building envelope solutions, such as entrances, curtain walls, windows, composite panels, and coil coated sheets for fabricators and glazing subcontractors under the Kawneer, Reynobond, and Reynolux brands. The company offers its products directly to customers, as well as through distributors. The company was formerly known as Arconic Rolled Products Corporation and changed its name to Arconic Corporation in Arpil 2020. Arconic Corporation was founded in 1888 and is headquartered in Pittsburgh, Pennsylvania.",USD,Industrials,Capital Goods,Machinery,NYQ,New York Stock Exchange,United States,PA,Pittsburgh,15212-5872,http://www.arconic.com,Mid Cap,US03966V1070,03966V107,BBG00R45MX43,BBG00R45JYB7,BBG00R45JYC6
AS,Amer Sports Inc. Ordinary Shares,,USD,,,,ASE,NYSE MKT,,,,,,Nano Cap,,,,,
ASC,Ardmore Shipping Corporation,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. As of February 15, 2021, the company operated a fleet of 25 double-hulled product and chemical tankers. It serves oil majors, oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is based in Pembroke, Bermuda.",USD,Industrials,Transportation,Marine,NYQ,New York Stock Exchange,Bermuda,,Pembroke,HM08,http://ardmoreshipping.com,Small Cap,MHY0207T1001,,BBG004SCC108,BBG004SCC0R1,BBG004SCC0S0
ASH,Ashland Global Holdings Inc.,"Ashland Global Holdings Inc. provides specialty chemical solutions worldwide. The company's Specialty Ingredients segment offers products, technologies, and resources for solving formulation and product-performance challenges. It provides solutions using natural, synthetic, and semisynthetic polymers derived from cellulose ethers, vinyl pyrrolidones, acrylic polymers, polyester and polyurethane-based adhesives, and plant and seed extracts. This segment offers its solutions for the pharmaceutical companies; makers of personal care products, food, and beverages; makers of nutraceuticals and supplements; manufacturers of paint, coatings, and construction materials; packaging and converting markets; and oilfield service companies. Its Intermediates and Solvents produces 1,4 butanediol and related derivatives, including n-methylpyrrolidone that are used as chemical intermediates in the production of engineering polymers and polyurethanes, as well as specialty process solvents used in electronics, pharmaceuticals, water filtration membranes, and others. The company was formerly known as Ashland Inc. and changed its name to Ashland Global Holdings Inc. in September 2016. Ashland Global Holdings Inc. was founded in 1924 and is headquartered in Covington, Kentucky.",USD,Materials,Materials,Chemicals,NYQ,New York Stock Exchange,United States,KY,Covington,41011,http://www.ashland.com,Mid Cap,US0441861046,44186104,BBG00D20JBT2,BBG00D0Y81M1,BBG00D0Y81N0
ASND,Ascendis Pharma A/S,"Ascendis Pharma A/S, a biopharmaceutical company, develops therapeutics for unmet medical needs. The company develops TransCon growth hormone, which completed Phase III clinical trials for growth hormone deficiency. It also develops TransCon parathyroid hormone for adult hypoparathyroidism; and TransCon CNP for achondroplasia. In addition, the company develops preclinical studies in the field of oncology for potential product candidates and evaluate systemic and localized delivery systems using its TransCon technologies. The company was incorporated in 2006 and is headquartered in Hellerup, Denmark.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NMS,NASDAQ Global Select,Denmark,,Hellerup,2900,http://www.ascendispharma.com,Mid Cap,,,,,
ASO,"Academy Sports and Outdoors, Inc.","Academy Sports and Outdoors, Inc., through its subsidiaries, operates as a sporting goods and outdoor recreational products retailer in the United States. The company sells coolers and drinkware, camping accessories, camping equipment, sunglasses, backpacks, and sports bags; marine equipment and fishing rods, reels, baits, and equipment; firearms, ammunition, archery and archery equipment, camouflage apparel, waders, shooting accessories, optics, airguns, and hunting equipment; baseball, football, basketball, soccer, golf, racket sports, volleyball, fitness equipment, fitness accessories, and nutrition; and patio equipment, outdoor cooking, wheeled goods, trampolines, play sets, watersports, pet equipment, electronics, and watches. It also offers outdoor apparel, seasonal apparel, denim, work apparel, graphic t-shirts, and accessories; boys and girls outdoor and athletic apparel; sporting apparel, apparel for fitness and exercise, and other accessories; professional and collegiate team licensed apparel and accessories; casual shoes and slippers, work and western boots, youth footwear, socks, and hunting footwear; and running shoes, athletic shoes, sport specific shoes, and training shoes. The company sells its products under the Academy Sports + Outdoors, Magellan Outdoors, BCG, O'rageous, and Outdoor Gourmet brand names. As of January 30, 2021, it operated 259 Academy Sports + Outdoors retail locations in 16 states and three distribution centers located in Katy, Texas, Twiggs County, Georgia, and Cookeville, Tennessee. The company also sells merchandise to customers through academy.com website. Academy Sports and Outdoors, Inc. was founded in 1938 and is based in Katy, Texas.",USD,Consumer Discretionary,Retailing,Specialty Retail,NMS,NASDAQ Global Select,United States,TX,Katy,77449,http://www.academy.com,Mid Cap,AU0000128787,,,,
AT,Atlantic Power Corporation,"Atlantic Power Corporation owns and operates a fleet of power generation assets in the United States and Canada. As of December 31, 2020, its portfolio consisted of twenty-one operating projects with an aggregate electric generating capacity of approximately 1,723 megawatts on a gross ownership basis and approximately 1,327 MW on a net ownership basis across eleven states in the United States and two provinces in Canada. The company sells its electricity to utilities and other customers. The company was incorporated in 2004 and is headquartered in Dedham, Massachusetts.",USD,Utilities,Utilities,Independent Power and Renewable Electricity Producers,NYQ,New York Stock Exchange,United States,MA,Dedham,2026,http://www.atlanticpower.com,Micro Cap,CA00510L1067,,,,
ATGE,Adtalem Global Education Inc.,"Adtalem Global Education Inc. provides educational services worldwide. It operates through two segments, Medical and Healthcare and Financial Services. The Medical and Healthcare segment operates Chamberlain University, which provides a pre-licensure bachelor of science in nursing (BSN) program, registered nurse (RN)-to-BSN degree completion option, and graduate programs. The Chamberlain University offers educational services through its 22 campuses and online. This segment also operates medical and veterinary schools, such as American University of the Caribbean School of Medicine, Ross University School of Medicine, and Ross University School of Veterinary Medicine. The Financial Services segment provides test preparation, certifications, conferences, seminars, memberships, and subscriptions to business professionals in the areas of accounting, anti-money laundering, banking, and mortgage lending. It operates an Association of Certified Anti-Money Laundering Specialists that provides membership services, certified anti-money laundering specialist certification, conferences, risk assessment, training, and publications; and Becker Professional Education that prepares candidates for the Certified Public Accountant and Certified Management Accountant certification examinations, as well as professional education programs and seminars in accounting and finance. This segment also offers compliance training, mortgage licensure preparation, continuing education, and professional development in the banking and mortgage industries; and online and classroom programs in the areas of finance, accounting, and analytics. The company was formerly known as DeVry Education Group Inc. and changed its name to Adtalem Global Education Inc. in May 2017. Adtalem Global Education Inc. was incorporated in 1987 and is based in Chicago, Illinois.",USD,Consumer Staples,Household & Personal Products,Household Products,NYQ,New York Stock Exchange,United States,IL,Chicago,60661,http://www.adtalem.com,Small Cap,,,,,
ATI,Allegheny Technologies Incorporated,"Allegheny Technologies Incorporated manufactures and sells specialty materials and components worldwide. The company operates in two segments, High Performance Materials & Components and Advanced Alloys & Solutions. The company produces high performance materials, including titanium and titanium-based alloys; nickel-and cobalt-based alloys and superalloys; zirconium and related alloys, such as hafnium and niobium; powder alloys; and other specialty materials in long product forms of ingots, billets, bars, rods, wires, and shapes and rectangles, as well as seamless tubes, plus precision forgings, castings, components, and machined parts to the aerospace and defense, medical, oil and gas, and electrical energy markets. It also provides stainless steel, nickel-based alloys, specialty alloys, and titanium and titanium-based alloys in various product forms, including plate, sheet, and precision rolled strip products to various markets, such as chemical and hydrocarbon processing,. Allegheny Technologies Incorporated was founded in 1960 and is based in Pittsburgh, Pennsylvania.",USD,Industrials,Capital Goods,Building Products,NYQ,New York Stock Exchange,United States,PA,Pittsburgh,15222-5479,http://www.atimetals.com,Mid Cap,CA04682R1073,,,,
ATO,Atmos Energy Corporation,"Atmos Energy Corporation, together with its subsidiaries, engages in the regulated natural gas distribution, and pipeline and storage businesses in the United States. It operates in two segments, Distribution, and Pipeline and Storage. The Distribution segment is involved in the regulated natural gas distribution and related sales operations in eight states. This segment distributes natural gas to approximately three million residential, commercial, public authority, and industrial customers. As of September 30, 2020, it owned 71,558 miles of underground distribution and transmission mains. The Pipeline and Storage segment engages in the pipeline and storage operations. This segment transports natural gas for third parties and manages five underground storage reservoirs in Texas; and provides ancillary services to the pipeline industry, including parking arrangements, lending, and inventory sales. As of September 30, 2020, it owned 5,684 miles of gas transmission lines. Atmos Energy Corporation was founded in 1906 and is headquartered in Dallas, Texas.",USD,Utilities,Utilities,Gas Utilities,NYQ,New York Stock Exchange,United States,TX,Dallas,75240,http://www.atmosenergy.com,Large Cap,US0495601058,49560105,BBG000BRNJ37,BBG000BRNGM2,BBG001S5VG05
ATVI,"Activision Blizzard, Inc.","Activision Blizzard, Inc., together with its subsidiaries, develops and publishes interactive entertainment content and services in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops and distributes content and services on video game consoles, personal computers, and mobile devices, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies that distribute Activision and Blizzard products. The company also maintains a proprietary online gaming service, Battle.net that facilitates digital distribution of content, online social connectivity, and the creation of user-generated content. In addition, it operates esports leagues and offer digital advertising content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company's key product franchises include Call of Duty, World of Warcraft, Diablo, Hearthstone, Overwatch, and Candy Crush. It serves retailers and distributors, including mass-market retailers, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements. Activision Blizzard, Inc. is headquartered in Santa Monica, California.",USD,Communication Services,Media & Entertainment,Interactive Media & Services,NMS,NASDAQ Global Select,United States,CA,Santa Monica,90405,http://www.activisionblizzard.com,Large Cap,US00507V1098,00507V109,BBG000CVWRL9,BBG000CVWGS6,BBG001S6C009
AVB,"AvalonBay Communities, Inc.","As of December 31, 2020, the Company owned or held a direct or indirect ownership interest in 291 apartment communities containing 86,025 apartment homes in 11 states and the District of Columbia, of which 18 communities were under development and one community was under redevelopment. The Company is an equity REIT in the business of developing, redeveloping, acquiring and managing apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion markets consisting of Southeast Florida and Denver, Colorado (the ""Expansion Markets"").",USD,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),NYQ,New York Stock Exchange,United States,VA,Arlington,22203,http://www.avalonbay.com,Large Cap,US0534841012,53484101,BBG000BLPDS4,BBG000BLPBL5,BBG001S7J2H8
AVGO,Broadcom Inc.,"Broadcom Inc. designs, develops, and supplies semiconductor infrastructure software solutions. It offers semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V based products worldwide. The company's infrastructure software solutions enable customers to plan, develop, automate, manage, and secure applications across mainframe, distributed, mobile, and cloud platforms. It operates through two segments, Semiconductor Solutions and Infrastructure Software. The company was incorporated in 2018 and is based in San Jose, California.",USD,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,NMS,NASDAQ Global Select,United States,CA,San Jose,95131-2313,http://www.broadcom.com,Mega Cap,,,BBG00KHY5SQ7,BBG00KHY5S69,BBG00KHY5SY8
AVY,Avery Dennison Corporation,"Avery Dennison Corporation manufactures and markets pressure-sensitive materials in the United States, Europe, Asia, Latin America, and internationally. The company's Label and Graphic Materials segment offers pressure-sensitive label and packaging materials; and graphics and reflective products under the Fasson, JAC, Avery Dennison, and Mactac brands, as well as durable cast and reflective films. It provides its products to the home and personal care, beer and beverage, durables, pharmaceutical, wine and spirits, and food market segments; architectural, commercial sign, digital printing, and other related market segments; construction, automotive, and fleet transportation market segments, as well as traffic and safety applications; and sign shops, commercial printers, and designers. The company's Retail Branding and Information Solutions segment designs, manufactures, and sells brand embellishments, graphic tickets, tags and labels, and sustainable packaging solutions, as well as offers creative services; item-level radio-frequency identification solutions; visibility and loss prevention solutions; price ticketing and marking solutions; care, content, and country of origin compliance solutions; and brand protection and security solutions. It serves retailers, brand owners, apparel manufacturers, distributors, and industrial customers. The company's Industrial and Healthcare Materials segment offers tapes; pressure-sensitive adhesive based materials and converted products; medical fasteners; and performance polymers under the Fasson, Avery Dennison, and Yongle brands. It serves automotive, electronics, building and construction, general industrial, personal care, and medical markets. The company was formerly known as Avery International Corporation and changed its name to Avery Dennison Corporation in 1990. Avery Dennison Corporation was founded in 1935 and is headquartered in Glendale, California.",USD,Industrials,Commercial & Professional Services,Commercial Services & Supplies,NYQ,New York Stock Exchange,United States,CA,Glendale,91203,http://www.averydennison.com,Large Cap,US0536111091,53611109,BBG000BCQ742,BBG000BCQ4P6,BBG001S5NZM8
AWK,"American Water Works Company, Inc.","American Water Works Company, Inc., through its subsidiaries, provides water and wastewater services in the United States. It offers water and wastewater services to approximately 1,700 communities in 16 states serving approximately 3.5 million active customers. The company serves residential customers; commercial customers, such as food and beverage providers, commercial property developers and proprietors, and energy suppliers; fire service and private fire customers; industrial customers, such as large-scale manufacturers, mining, and production operations; public authorities comprising government buildings and other public sector facilities, such as schools and universities; and other utilities and community water and wastewater systems. It also provides various warranty protection programs to residential customers; and water and wastewater services on various military installations. In addition, the company undertakes contracts with municipal customers, primarily to operate and manage water and wastewater facilities, as well as offers other related services. It operates approximately 79 surface water treatment plants; 530 groundwater treatment plants; 150 wastewater treatment plants; 53,200 miles of transmission, distribution, and collection mains and pipes; 1,100 groundwater wells; 1,600 water and wastewater pumping stations; 1,300 treated water storage facilities; and 75 dams. The company serves approximately 15 million people with drinking water, wastewater, and other water-related services in 46 states. The company was founded in 1886 and is headquartered in Camden, New Jersey.",USD,Utilities,Utilities,Water Utilities,NYQ,New York Stock Exchange,United States,NJ,Camden,08102-1658,http://www.amwater.com,Large Cap,US0304201033,30420103,BBG000TRJ3B9,BBG000TRJ294,BBG001SPHYW3
AXON,"Axon Enterprise, Inc.","Axon Enterprise, Inc. develops, manufactures, and sells conducted energy weapons (CEWs) under the TASER brand in the United States and internationally. It operates through two segments, TASER and Software and Sensors. The company offers TASER X26P, TASER X2, TASER 7, and TASER Pulse CEWs; and related cartridges. It also provides on-officer body cameras and Axon Fleet in-car video systems; and Axon Evidence digital evidence management software; Axon Records, a cloud-based records management system; Axon Signal enabled devices; and computer-aided dispatch software, as well as Axon docks, cartridges, and batteries. In addition, the company offers hardware and cloud-based software solutions that enable law enforcement to capture, securely store, manage, share, and analyze video and other digital evidence. It sells its products through its direct sales force, distribution partners, online store, and third-party resellers. The company was formerly known as TASER International, Inc. and changed its name to Axon Enterprise, Inc. in April 2017. Axon Enterprise, Inc. was incorporated in 1993 and is headquartered in Scottsdale, Arizona.",USD,Industrials,Capital Goods,Aerospace & Defense,NMS,NASDAQ Global Select,United States,AZ,Scottsdale,85255,http://www.axon.com,Large Cap,US05464C1018,05464C101,BBG000BHK5Z7,BBG000BHJWG1,BBG001SB2HG5
AXP,American Express Company,"American Express Company, together with its subsidiaries, provides charge and credit payment card products, and travel-related services worldwide. The company operates through three segments: Global Consumer Services Group, Global Commercial Services, and Global Merchant and Network Services. Its products and services include payment and financing products; network services; accounts payable expense management products and services; and travel and lifestyle services. The company's products and services also comprise merchant acquisition and processing, servicing and settlement, point-of-sale marketing, and information products and services for merchants; and fraud prevention services, as well as the design and operation of customer loyalty programs. It sells its products and services to consumers, small businesses, mid-sized companies, and large corporations through mobile and online applications, third-party vendors and business partners, direct mail, telephone, in-house sales teams, and direct response advertising. American Express Company was founded in 1850 and is headquartered in New York, New York.",USD,Financials,Diversified Financials,Consumer Finance,NYQ,New York Stock Exchange,United States,NY,New York,10285,http://www.americanexpress.com,Large Cap,US0258161092,25816109,BBG000BCR153,BBG000BCQZS4,BBG001S5P034
AYI,"Acuity Brands, Inc.","Acuity Brands, Inc. provides lighting and building management solutions and services for commercial, institutional, industrial, infrastructure, and residential applications in North America and internationally. The company offers lighting and control products and solutions, including recessed, surface, and suspended lighting; down, decorative, emergency and exit, track, day, special-use, street and roadway, parking garage, tunnel, underwater, area pedestrian, flood, decorative site, and landscape lighting; occupancy sensors; photo controls; relay panels; architectural dimming panels; and integrated lighting controls systems. It also provides building management systems, lighting, lighting controls, and location aware applications; and light emitting diode drivers, power supplies, modular wiring, sensors, glass, and inverters, as well as services across applications that primarily relate to monitoring and controlling lighting systems through network technologies and the commissioning of control systems. The company markets its products under the Lithonia Lighting, Holophane, Peerless, Gotham, Mark Architectural Lighting, Winona Lighting, Juno, Indy, Aculux, Healthcare Lighting, Hydrel, American Electric Lighting, Sunoptics, eldoLED, Distech Controls, nLight, ROAM, Sensor Switch, IOTA, A-light, Cyclone, Eureka, Luminaire LED, Luminis, Dark to Light, RELOC Wiring Solutions, DGLogik, and Atrius brands. It serves electrical distributors, retail home improvement centers, electric utilities, national accounts, system integrators, utility distributors, value-added resellers, digital retailers, government entities and municipalities, lighting showrooms, developers, original equipment manufacturers, and energy service companies, as well as the new construction, renovation, and maintenance and repair markets. Acuity Brands, Inc. was incorporated in 2001 and is headquartered in Atlanta, Georgia.",USD,Industrials,Capital Goods,Electrical Equipment,NYQ,New York Stock Exchange,United States,GA,Atlanta,30309-7676,http://www.acuitybrands.com,Mid Cap,,,,,
AZO,one,"one does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or other similar business combination with one or more operating businesses. The company was incorporated in 2020 and is based in San Francisco, California.",USD,Financials,Diversified Financials,Diversified Financial Services,NYQ,New York Stock Exchange,United States,CA,San Francisco,94129,http://www.a-star.co,Large Cap,,,BBG000C7MR60,BBG000C7LMS8,BBG001S6Q5D9
BA,The Boeing Company,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through four segments: Commercial Airplanes; Defense, Space & Security; Global Services; and Boeing Capital. The Commercial Airplanes segment provides commercial jet aircraft for passenger and cargo requirements, as well as fleet support services. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Capital segment offers financing services and manages financing exposure for a portfolio of equipment under operating and finance leases, notes and other receivables, assets held for sale or re-lease, and investments. The company was founded in 1916 and is based in Chicago, Illinois.",USD,Industrials,Capital Goods,Aerospace & Defense,NYQ,New York Stock Exchange,United States,IL,Chicago,60606-1596,http://www.boeing.com,Large Cap,US0970231058,97023105,BBG000BCSV38,BBG000BCSST7,BBG001S5P0V3
BAC,Bank of America Corporation,"Bank of America Corporation, through its subsidiaries, provides banking and financial products and services for individual consumers, small and middle-market businesses, institutional investors, large corporations, and governments worldwide. Its Consumer Banking segment offers traditional and money market savings accounts, certificates of deposit and IRAs, noninterest-and interest-bearing checking accounts, and investment accounts and products; and credit and debit cards, residential mortgages, and home equity loans, as well as direct and indirect loans, such as automotive, recreational vehicle, and consumer personal loans. The company's Global Wealth & Investment Management segment offers investment management, brokerage, banking, and trust and retirement products and services; and wealth management solutions, as well as customized solutions, including specialty asset management services. Its Global Banking segment provides lending products and services, including commercial loans, leases, commitment facilities, trade finance, and commercial real estate and asset-based lending; treasury solutions, such as treasury management, foreign exchange, and short-term investing options and merchant services; working capital management solutions; and debt and equity underwriting and distribution, and merger-related and other advisory services. The company's Global Markets segment offers market-making, financing, securities clearing, settlement, and custody services, as well as risk management products using interest rate, equity, credit, currency and commodity derivatives, foreign exchange, fixed-income, and mortgage-related products. As of April 15, 2021, it served approximately 66 million consumer and small business clients with approximately 4,300 retail financial centers; approximately 17,000 ATMs; and digital banking platforms with approximately 40 million active users. The company was founded in 1784 and is headquartered in Charlotte, North Carolina.",USD,Financials,Banks,Banks,NYQ,New York Stock Exchange,United States,NC,Charlotte,28255,http://www.bankofamerica.com,Mega Cap,,,BBG000BCTN44,BBG000BCTLF6,BBG001S5P0Y0
BALL,Ball Corporation Common Stock,,USD,Consumer Discretionary,Retailing,Distributors,ASE,NYSE MKT,United States,,,,,Large Cap,,,,,
BAX,Baxter International Inc.,"Baxter International Inc., through its subsidiaries, develops and provides a portfolio of healthcare products worldwide. The company offers peritoneal dialysis and hemodialysis, and additional dialysis therapies and services; renal replacement therapies and other organ support therapies focused in the intensive care unit; sterile intravenous (IV) solutions, IV therapies, infusion pumps, administration sets, and drug reconstitution devices; and parenteral nutrition therapies. It also provides biological products and medical devices, and surgical hemostat and sealant products used in surgical procedures for hemostasis, tissue sealing, and adhesion prevention; premixed and oncology drug platforms, inhaled anesthesia and critical care products, and pharmacy compounding services; and generic injectable pharmaceuticals. Its products are used in hospitals, kidney dialysis centers, nursing homes, rehabilitation centers, doctors' offices, and patients at home under physician supervision. The company sells its products through direct sales force, as well as through independent distributors, drug wholesalers, and specialty pharmacy or other alternate site providers in approximately 100 countries. It has an agreement with Celerity Pharmaceutical, LLC to develop acute care generic injectable premix and oncolytic molecules. Baxter International Inc. was founded in 1931 and is headquartered in Deerfield, Illinois.",USD,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,NYQ,New York Stock Exchange,United States,IL,Deerfield,60015,http://www.baxter.com,Large Cap,US0718131099,71813109,BBG000BCVLK7,BBG000BCVJ77,BBG001S5P1K3
BBBY,Bed Bath & Beyond Inc.,"Bed Bath & Beyond Inc., together with its subsidiaries, operates a chain of retail stores. It operates through two segments, North American Retail and Institutional Sales. The company sells a range of domestics merchandise, including bed linens and related items, bath items, and kitchen textiles; and home furnishings, such as kitchen and tabletop items, fine tabletop, basic housewares, general home furnishings, consumables, and various juvenile products. As of February 27, 2021, the company had 1,020 stores, including 834 Bed Bath & Beyond stores in 50 states, the District of Columbia, Puerto Rico, and Canada; 132 buybuy BABY stores; and 54 stores under the names Harmon, Harmon Face Values or Face Values. It also offers products through various Websites and applications, such as bedbathandbeyond.com, bedbathandbeyond.ca, harmondiscount.com, facevalues.com, buybuybaby.com, buybuybaby.ca and decorist.com. In addition, it operates Decorist, an online interior design platform that provides personalized home design services. The company was incorporated in 1971 and is headquartered in Union, New Jersey.",USD,Consumer Discretionary,Retailing,Specialty Retail,NMS,NASDAQ Global Select,United States,NJ,Union,7083,http://www.bedbathandbeyond.com,Nano Cap,US0758961009,75896100,BBG000CSZQZ0,BBG000CSY9H9,BBG001S720V4
BBI,"Brickell Biotech, Inc.","Brickell Biotech, Inc., a clinical-stage pharmaceutical company, focuses on identifying, developing, and commercializing various prescription therapeutics for the treatment of debilitating skin diseases in the United States. The company's lead product candidate is sofpironium bromide that is in phase 3 clinical trial to treat patients with primary axillary hyperhidrosis. It has a collaboration agreement with AnGes, Inc. for the development of a novel DNA vaccine candidate for COVID-19. The company was founded in 2009 and is headquartered in Boulder, Colorado.",USD,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,NCM,NASDAQ Capital Market,United States,CO,Boulder,80301,http://www.brickellbio.com,Micro Cap,,,,,
BBWI,Bath & Body Works Inc.,,USD,Industrials,Commercial & Professional Services,Professional Services,ASE,NYSE MKT,United States,,,,,Large Cap,,,,,
BBY,"Best Buy Co., Inc.","Best Buy Co., Inc. retails technology products in the United States and Canada. The company operates in two segments, Domestic and International. Its stores provide computing and mobile phones, such as computing covering desktops, notebooks, and peripherals; mobile phones comprising related mobile network carrier commissions, networking products, tablets covering e-readers, and wearables, such as smartwatches; and consumer electronics consisting of digital imaging, health and fitness, home theater, portable audio comprising headphones and portable speakers, and smart home products. The company's stores also offer appliances, such as dishwashers, laundry appliances, ovens, refrigerators, blenders, coffee makers, and vacuums; entertainment products consisting of drones, peripherals, movies, music, and toys, as well as gaming hardware and software, and virtual reality and other software products; and other products, such as beverages, snacks, and sundry items, as well as baby products, furniture, luggage, and sporting goods. In addition, it provides consultation, delivery, design, installation, memberships, protection plans, repair, set-up, and technical support services, as well as connected health services for aging consumers. The company offers its products through stores and websites under the BestBuy, Best Buy Business, Best Buy Express, Best Buy Health, CST, Geek Squad, GreatCall, Lively, Magnolia, Pacific Kitchen, and Home, as well as the domain names bestbuy.com and greatcall.com. As of January 30, 2021, it had 1,126 large-format and 33 small-format stores. The company was formerly known as Sound of Music, Inc. Best Buy Co., Inc. was incorporated in 1966 and is headquartered in Richfield, Minnesota.",USD,Consumer Discretionary,Retailing,Specialty Retail,NYQ,New York Stock Exchange,United States,MN,Richfield,55423,http://investors.bestbuy.com/investor-relations/overview/default.aspx,Large Cap,US0865161014,86516101,BBG000BCWFH3,BBG000BCWCG1,BBG001S5P285
